file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.0,0.02,1.2005788,-15.088904,20.418852,0.06985728,-0.029030725,0.0,0.0,0.0,0.0,0.0,0.0,322.5491,990.8833,-201.0,1547.3771,-201.0,2429.4385,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.01,0.03,1.3579464,-12.0899515,16.864256,0.09017593,-0.02408723,0.0,0.0,0.0,0.0,0.0,0.0,305.92368,1017.4854,-201.0,1506.5018,-201.0,2417.317,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.02,0.04,1.4610437,-6.9875736,12.860172,0.10586188,-0.017136522,0.0,0.0,0.0,0.0,0.0,0.0,630.4397,772.7402,-201.0,1761.2057,-201.0,2778.832,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.03,0.05,1.4492651,-3.044215,10.506252,0.124744,-0.0149545,0.0,0.0,0.0,0.0,0.0,0.0,919.26874,514.68646,-201.0,2011.8032,-201.0,3090.9714,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.04,0.06,1.3130612,-1.5080566,10.9025345,0.102971375,-0.015063583,0.0,0.0,0.0,0.0,0.0,0.0,1234.3756,203.77458,-201.0,2287.636,-201.0,3409.0469,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.05,0.07,1.203333,-2.001569,10.744762,0.08366398,-0.014049757,0.0,0.0,0.0,0.0,0.0,0.0,1190.4176,198.91716,-201.0,2238.263,-201.0,3350.289,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.06,0.08,1.0849236,-2.3778083,11.082034,0.054200202,-0.009202505,0.0,0.0,0.0,0.0,0.0,0.0,1175.9941,232.4759,-201.0,2218.1936,-201.0,3323.7844,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.07,0.09,1.0293862,-1.4781545,9.718228,0.042716656,-0.0031242182,0.0,0.0,0.0,0.0,0.0,0.0,1145.3435,364.29288,-201.0,2233.7856,-201.0,3288.2703,-201.0
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.08,0.1,0.96688575,-0.4499112,9.689422,0.043026637,-0.005456667,0.0,0.0,0.0,0.0,0.0,0.0,848.45306,718.0932,-131.2457,1939.4645,-136.0328,3000.0137,-138.596
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.09,0.11,0.861798,-1.4640703,10.839714,0.04350694,-0.002575881,23.904037,0.0,0.0,-1.787785,0.36769104,27.714108,856.19653,888.06476,-66.136696,1987.2633,-76.49389,2988.9434,-79.55036
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.1,0.12,0.720009,-3.8558416,13.067906,0.049121905,-0.0062620253,25.757011,0.0,0.0,-1.3227221,0.24653721,31.753176,868.93976,1087.0397,-3.7833622,1935.9291,-18.81786,2940.9316,-23.304682
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.11,0.13,0.7409158,-10.834832,20.68532,0.05624619,-0.014540564,27.57841,0.0,0.0,0.08104042,-0.61091757,36.105526,886.20245,1178.2863,-4.658673,1871.9205,-20.754126,2894.429,-29.608759
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.12,0.14,0.94643,-16.54907,26.676432,0.06963597,-0.03023686,29.13148,0.0,0.0,1.7012501,0.81846315,40.123253,842.5866,1317.829,-6.6035037,1908.4889,-24.424866,3050.6384,-34.57681
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.13,0.15,1.2464961,-20.234962,34.40817,0.08749401,-0.03879142,28.812431,0.0,0.0,3.6553252,1.7900101,38.9159,569.4423,1396.4913,-1.9465843,1570.4696,-20.439457,2791.1272,-35.881985
../../aligned/aligner-corpus/Anita_MUSSO_F_46_11e-v2/Anita Musso_1056.942_1060.072.wav,0.14,0.16,1.3355862,-19.499897,35.413006,0.09260002,-0.037926506,28.570658,0.0,0.0,4.767719,3.0696878,36.7397,580.62244,1301.2833,-5.7383657,1585.8475,-23.484049,2781.5325,-36.77789
